designate;intensify;organization;system;person;storm;wrong
base;include;person;organization;person;organization;wrong
classify;track;organization;system;person;northwestward;wrong
weaken;absorb;person;trend;person;remnant;wrong
miss;recover;people;people;person;body;correct
increase;strengthen;;;;;correct
damage;cover;wind;home;flood;area;wrong
cover;occur;flood;area;earthquake;quantity;wrong
continue;drop;person;westward;storm;rainfall;wrong
select;retire;;;;;wrong
rat;touch;organization;tornado;tornado;southwest;wrong
originate;track;;;;;correct
undergo;weaken;;;;;correct
extend;upgrade;;;;;correct
die;miss;people;person;people;people;correct
injure;strike;;;;;wrong
begin;reach;;;;;correct
publish;assign;;;;;correct-reversed
occur;trigger;;;;;wrong
take;develop;;;;;wrong
leave;impact;;;;;wrong
come;go;;;;;correct
snap;occur;tornado;tree;earthquake;quantity;wrong
record;produce;;;;;correct-reversed
occur;locate;;;;;correct
assign;have;;;;;correct
attain;degenerate;;;;;wrong
exist;exceed;cyclone;problem;damage;quantity;correct
submerge;flood;;;;;correct
expose;intensify;;;;;wrong
multiply;exceed;loss;dike;damage;quantity;correct
send;arrive;;;;;correct
leave;remain;;;;;correct
move;receive;;;;;wrong
burn;start;;;;;wrong
control;burn;;;;;wrong
experience;issue;;;;;wrong
lose;close;;;;;wrong
sweep;throw;;;;;wrong
rise;live;river;water;people;storm;wrong
retire;mark;;;;;wrong
intensify;increase;person;storm;convection;shear;wrong
assign;retire;;;;;correct
operate;include;organization;organization;person;organization;wrong
reach;surge;person;intensity;storm;river;wrong
speak;exceed;person;language;damage;quantity;wrong
interact;reach;;;;;correct
issue;bring;organization;warning;storm;rain;correct
burn;break;fire;quantity;fire;record;correct
affect;wash;;;;;wrong
continue;accelerate;;;;;correct
leave;include;storm;people;person;organization;wrong
include;survive;person;organization;person;earthquake;wrong
miss;flood;;;;;wrong
originate;affect;;;;;wrong
occur;isolate;;;;;wrong
sink;rescue;boat;boat;organization;people;correct
work;include;;;;;wrong
hit;lose;;;;;wrong
pledge;donate;;;;;correct
follow;come;organization;date;person;date;correct
injure;destroy;number;people;tornado;home;correct-reversed
extend;discontinue;;;;;correct
upgrade;enter;;;;;wrong
emerge;remain;wave;country;person;number;wrong
longitude;expect;;;;;wrong
move;drop;person;westward;storm;rainfall;wrong
uproot;destroy;;;;;correct
enter;define;;;;;wrong
shake;strike;;;;;wrong
intensify;undergo;person;storm;person;intensification;correct
begin;move;;;;;correct
blow;sustain;;;;;correct
take;continue;;;;;wrong
burn;contain;;;;;wrong
form;assign;person;quantity;organization;name;wrong
distribute;provide;;;;;correct
flood;damage;river;area;wind;home;correct
follow;hit;organization;date;earthquake;country;wrong
drop;destroy;;;;;correct
strike;damage;;;;;correct
sustain;reach;;;;;wrong
cover;continue;;;;;wrong
destroy;die;tornado;home;people;person;correct
situate;intensify;hurricane;mi;person;storm;wrong
discontinue;follow;;;;;wrong
total;leave;;;;;wrong
develop;consolidate;;;;;wrong
fall;kill;quantity;tree;person;people;correct
track;intensify;;;;;wrong
issue;sustain;;;;;wrong
reach;increase;;;;;correct
associate;record;person;convection;station;wind;wrong
expose;dissipate;;;;;wrong
burn;battle;fire;quantity;firefighter;blaze;correct
end;delimit;;;;;correct
because;hit;;;;;wrong
retire;replace;organization;name;organization;person;correct
undergo;name;person;intensification;organization;storm;wrong
inundate;affect;;;;;wrong
occur;prevent;;;;;correct
base;intensify;;;;;wrong
weaken;transition;;;;;wrong
transition;absorb;;;;;wrong
form;pass;person;quantity;person;quantity;correct
center;move;;;;;wrong
fall;associate;quantity;tree;person;convection;wrong
originate;intensify;person;quantity;person;storm;wrong
wash;kill;flood;road;person;people;wrong
weaken;turn;person;trend;storm;west;wrong
destroy;burn;;;;;correct-reversed
strengthen;continue;person;storm;person;westward;wrong
affect;break;;;;;correct
cover;come;;;;;wrong
deploy;send;organization;team;organization;team;correct
destroy;result;tornado;home;damage;flood;wrong
begin;remain;record;trend;person;number;correct
want;go;;;;;correct
downgrade;continue;;;;;wrong
increase;weaken;convection;shear;person;trend;wrong
conduct;include;;;;;correct
strengthen;reach;person;storm;person;intensity;wrong
increase;decrease;;;;;correct
reach;undergo;person;intensity;person;intensification;correct
flood;down;;;;;wrong
cause;strike;storm;damage;earthquake;country;wrong
hit;injure;earthquake;country;number;people;correct
follow;feel;organization;date;person;intensity;wrong
take;come;;;;;wrong
contribute;fall;;;;;wrong
burn;consume;;;;;correct
destroy;demolish;;;;;correct
classify;upgrade;;;;;wrong
send;go;;;;;correct
situate;upgrade;hurricane;mi;organization;system;correct
accelerate;transition;;;;;wrong
expect;send;person;storm;organization;team;correct
remain;find;person;number;aircraft;survivor;correct
level;destroy;;;;;correct
shake;hit;;;;;correct-reversed
go;kill;;;;;correct
cross;continue;;;;;correct
form;remain;person;quantity;person;number;correct
record;report;station;wind;organization;damage;wrong
assign;have;organization;name;person;name;correct
destroy;uproot;tornado;home;wind;tree;correct
cause;result;;;;;correct
intensify;weaken;person;storm;person;trend;correct
include;restore;;;;;wrong
grow;contain;;;;;correct
take;close;;;;;correct
record;include;;;;;wrong
send;provide;;;;;correct
cancel;issue;;;;;wrong
replace;strike;organization;person;earthquake;country;wrong
allow;rise;condition;resident;river;water;wrong
archive;retrieve;;;;;correct
reflect;multiply;;;;;wrong
kill;drown;;;;;correct-reversed
record;hit;station;wind;earthquake;country;correct-reversed
evacuate;take;people;people;person;place;correct
affect;receive;person;country;person;quantity;wrong
cause;affect;storm;damage;person;country;wrong
name;form;;;;;wrong
form;dissipate;person;quantity;person;mi;wrong
send;help;;;;;correct
evacuate;go;people;people;person;house;correct
rock;measure;;;;;correct
form;move;;;;;correct
submerge;affect;;;;;wrong
kill;miss;;;;;correct
judge;assign;;;;;correct
evacuate;strand;people;people;flooding;people;correct
damage;spawn;wind;home;storm;tornado;correct-reversed
send;fly;;;;;correct
designate;issue;;;;;wrong
occur;down;earthquake;quantity;wind;tree;wrong
bring;kill;;;;;wrong
last;reach;;;;;correct-reversed
decrease;pass;;;;;correct
emerge;make;;;;;wrong
emerge;continue;;;;;correct
cross;downgrade;;;;;wrong
fight;contain;;;;;wrong
move;emerge;person;westward;wave;country;correct
erupt;flow;volcano;volcano;water;river;correct
inundate;flood;flood;area;river;area;correct
flow;increase;;;;;correct
pledge;send;;;;;wrong
evacuate;erupt;;;;;correct-reversed
affect;total;person;country;damage;money;wrong
define;intensify;plan;eye;person;storm;wrong
indicate;form;;;;;wrong
deploy;assist;organization;team;organization;victim;correct
follow;provide;;;;;correct
donate;contribute;;;;;correct
assign;judge;organization;name;organization;system;wrong
hit;record;;;;;correct
die;kill;people;person;person;people;correct-reversed
upgrade;attain;organization;system;person;intensity;correct
destroy;level;;;;;correct
evacuate;suffer;;;;;correct
remain;prevent;;;;;correct-reversed
slip;lie;;;;;wrong
strike;bring;earthquake;country;storm;rain;correct
weaken;make;;;;;wrong
touch;move;tornado;southwest;person;westward;correct
inundate;fall;flood;area;quantity;tree;correct
occur;break;;;;;wrong
move;monitor;;;;;correct
increase;attain;convection;shear;person;intensity;correct
destroy;lose;;;;;correct
lose;cover;people;power;flood;area;correct-reversed
close;reopen;organization;school;organization;road;correct
associate;issue;event;convection;organization;warning;wrong
strengthen;upgrade;;;;;correct-reversed
run;extend;;;;;wrong
turn;emerge;;;;;wrong
attain;accelerate;person;intensity;person;northward;correct
send;raise;organization;team;organization;money;correct
pass;bring;person;quantity;storm;rain;wrong
identify;affect;;;;;wrong
die;rise;;;;;correct
kill;work;person;people;person;shift;wrong
pass;peak;person;quantity;rainfall;wind;wrong
set;record;country;record;station;wind;correct-reversed
drown;damage;;;;;correct
die;fall;people;person;quantity;tree;correct
wash;damage;;;;;correct
mark;retire;;;;;wrong
peak;weaken;rainfall;wind;person;trend;correct
die;drown;people;person;people;people;correct-reversed
flood;recede;;;;;wrong
kill;rise;;;;;correct
intensify;accelerate;person;storm;person;northward;correct
lead;occur;rain;organization;earthquake;quantity;wrong
go;know;person;house;person;cyclone;correct
hit;bring;earthquake;country;storm;rain;wrong
affect;distribute;person;country;organization;food;wrong
injure;damage;number;people;wind;home;correct-reversed
shift;include;;;;;wrong
issue;include;;;;;wrong
lose;hit;;;;;wrong
raise;bring;;;;;correct
fall;receive;quantity;tree;person;quantity;wrong
build;rebuild;;;;;correct
inundate;flood;;;;;correct
reflect;exist;;;;;correct-reversed
end;delimit;season;drought;date;period;correct
warn;strengthen;;;;;correct
spawn;destroy;;;;;correct
shake;feel;;;;;correct
accumulate;multiply;water;cyclone;loss;dike;correct
impact;result;storm;country;damage;flood;correct
affect;go;;;;;wrong
fail;remain;;;;;correct
leave;stay;storm;people;person;indoor;correct-reversed
follow;retire;organization;date;organization;name;correct
weaken;deteriorate;person;trend;storm;condition;correct-reversed
enter;intensify;;;;;wrong
limit;form;;;;;wrong
inundate;die;;;;;correct
weaken;drop;person;trend;storm;rainfall;wrong
measure;shake;;;;;correct-reversed
issue;downgrade;;;;;wrong
upgrade;define;;;;;wrong
revise;determine;;;;;correct
dissipate;evacuate;person;mi;people;people;correct
record;inundate;station;wind;flood;area;correct-reversed
move;cross;person;westward;person;country;correct
affect;die;person;country;people;person;wrong
release;record;organization;advisory;station;wind;wrong
occur;sustain;;;;;wrong
weaken;dissipate;person;trend;person;mi;wrong
fall;rescue;;;;;correct
attain;assess;person;intensity;person;damage;correct
delimit;limit;date;period;shear;damage;wrong
spread;burn;fire;center;fire;quantity;correct
measure;centre;quake;number;person;earthquake;wrong
close;reopen;;;;;correct
intensify;enter;;;;;wrong
lose;sustain;people;power;home;damage;correct
replace;rotate;;;;;wrong
track;organize;;;;;wrong
assign;limit;organization;name;shear;damage;wrong
include;come;;;;;wrong
include;relate;person;organization;organization;death;wrong
donate;match;organization;money;organization;donation;correct
damage;take;;;;;wrong
accelerate;cause;person;northward;storm;damage;wrong
note;develop;;;;;wrong
classify;assign;organization;system;organization;name;wrong
identify;strike;organization;area;earthquake;country;correct
move;assess;person;westward;person;damage;correct
continue;enter;person;westward;person;area;correct
know;form;person;cyclone;person;quantity;wrong
damage;snap;wind;home;tornado;tree;wrong
help;raise;country;victim;organization;money;correct
