base;pass;;;;;wrong
reside;live;people;radius;people;storm;correct
continue;enter;person;westward;person;area;correct
kill;range;;;;;wrong
affect;break;person;country;fire;record;wrong
retire;replace;organization;name;organization;person;correct
undergo;weaken;;;;;wrong
move;enter;;;;;wrong
relate;include;organization;death;person;organization;wrong
flood;cause;;;;;wrong
emerge;continue;;;;;wrong
inundate;fall;flood;area;quantity;tree;correct
drown;damage;;;;;correct
assess;intensify;;;;;wrong
flood;affect;;;;;correct
follow;occur;;;;;correct-reversed
allow;rise;condition;resident;river;water;wrong
intensify;turn;;;;;wrong
flood;prevent;river;area;shear;flooding;correct-reversed
shake;feel;;;;;correct
track;organize;;;;;wrong
rebuild;help;;;;;correct
extend;discontinue;;;;;correct
fall;miss;quantity;tree;people;people;correct
cause;strike;storm;damage;earthquake;country;correct-reversed
include;come;;;;;wrong
increase;attain;convection;shear;person;intensity;wrong
close;issue;;;;;correct
kill;miss;;;;;wrong
deploy;include;;;;;wrong
sink;rescue;boat;boat;organization;people;correct
submerge;affect;;;;;correct
increase;weaken;convection;shear;person;trend;wrong
indicate;form;;;;;correct
lose;cover;people;power;flood;area;correct-reversed
inundate;flood;flood;area;river;area;correct
close;damage;;;;;wrong
continue;drop;person;westward;storm;rainfall;wrong
continue;increase;person;westward;convection;shear;wrong
raise;donate;organization;money;organization;money;correct
donate;send;;;;;correct
affect;close;person;country;organization;school;correct-reversed
move;recurve;;;;;wrong
come;go;;;;;correct
measure;centre;quake;number;person;earthquake;wrong
damage;die;;;;;correct
evacuate;die;people;people;people;person;correct
move;receive;;;;;wrong
know;originate;person;cyclone;person;quantity;wrong
situate;upgrade;hurricane;mi;organization;system;wrong
begin;remain;record;trend;person;number;wrong
dispatch;assist;organization;team;organization;victim;correct
damage;spawn;wind;home;storm;tornado;correct-reversed
enter;associate;person;area;person;convection;wrong
pass;peak;person;quantity;rainfall;wind;wrong
contribute;strike;organization;money;earthquake;country;correct-reversed
cover;continue;;;;;wrong
develop;consolidate;;;;;correct
strengthen;continue;person;storm;person;westward;correct
evacuate;accord;people;people;number;rating;wrong
include;restore;;;;;wrong
lose;sustain;people;power;home;damage;correct
burn;destroy;;;;;correct
rock;measure;;;;;wrong
miss;recover;people;people;person;body;wrong
ignite;burn;fire;fire;fire;quantity;correct
damage;snap;wind;home;tornado;tree;correct
remain;find;person;number;aircraft;survivor;correct
form;develop;person;quantity;depression;eye;wrong
reflect;exist;;;;;wrong
die;rise;;;;;wrong
track;injure;person;northwestward;number;people;wrong
reach;increase;;;;;wrong
last;delimit;person;time;date;period;wrong
limit;form;;;;;wrong
return;evacuate;;;;;correct-reversed
select;retire;;;;;wrong
form;pass;person;quantity;person;quantity;wrong
move;slow;person;westward;person;motion;wrong
intensify;accelerate;;;;;correct
associate;issue;event;convection;organization;warning;wrong
go;kill;;;;;wrong
designate;issue;;;;;correct
classify;continue;organization;system;person;westward;wrong
battle;contain;;;;;correct
upgrade;define;;;;;wrong
multiply;reflect;;;;;wrong
follow;hit;organization;date;earthquake;country;wrong
destroy;result;tornado;home;damage;flood;correct
flood;down;;;;;wrong
weaken;indicate;person;trend;report;wind;wrong
last;reach;;;;;correct-reversed
break;burn;fire;record;fire;quantity;correct
bring;exceed;storm;rain;damage;quantity;wrong
build;rebuild;;;;;correct
cause;result;;;;;correct
associate;record;person;convection;station;wind;wrong
burn;battle;;;;;wrong
classify;upgrade;;;;;wrong
send;raise;organization;team;organization;money;correct
touch;reach;;;;;correct-reversed
organize;upgrade;system;convection;organization;system;wrong
record;include;;;;;wrong
evacuate;surge;people;people;storm;river;correct-reversed
accumulate;speak;water;cyclone;person;language;wrong
design;build;;;;;correct
sweep;occur;flood;home;earthquake;quantity;wrong
remain;pass;;;;;wrong
record;drop;station;wind;storm;rainfall;wrong
move;bring;person;westward;storm;rain;wrong
release;form;organization;advisory;person;quantity;wrong
affect;amount;;;;;wrong
donate;contribute;;;;;correct
reach;surge;person;intensity;storm;river;wrong
because;hit;;;;;wrong
retire;replace;;;;;correct
continue;cross;person;westward;person;country;correct
estimate;kill;person;wind;person;people;wrong
leave;evacuate;storm;people;people;people;wrong
damage;total;wind;home;damage;money;wrong
classify;follow;;;;;wrong
strand;flood;flooding;people;river;area;correct-reversed
accumulate;multiply;;;;;correct
die;drown;people;person;people;people;correct-reversed
judge;assign;;;;;correct
inundate;affect;;;;;wrong
organize;follow;system;convection;organization;date;wrong
sweep;damage;flood;home;wind;home;correct
drop;destroy;;;;;correct
attain;fall;person;intensity;quantity;tree;wrong
speak;exceed;person;language;damage;quantity;wrong
pass;bring;person;quantity;storm;rain;wrong
want;go;;;;;wrong
die;miss;people;person;people;people;correct
submit;name;organization;report;organization;storm;correct-reversed
reflect;speak;person;activity;person;language;correct-reversed
longitude;expect;;west;person;storm;wrong
damage;catch;;;;;wrong
originate;intensify;person;quantity;person;storm;wrong
advise;evacuate;organization;resident;people;people;correct
destroy;disrupt;;;;;wrong
increase;occur;convection;shear;earthquake;quantity;wrong
take;include;;;;;wrong
weaken;undergo;person;trend;person;intensification;wrong
base;include;person;organization;person;organization;wrong
replace;retire;organization;person;organization;name;wrong
wash;fall;flood;road;quantity;tree;wrong
document;form;page;tornado;person;quantity;wrong
follow;come;organization;date;person;date;wrong
occur;trigger;;;;;wrong
note;develop;;;;;wrong
expose;dissipate;;;;;wrong
cross;downgrade;;;;;wrong
expose;weaken;shear;center;person;trend;wrong
drown;kill;;;;;correct
delimit;limit;date;period;shear;damage;wrong
originate;track;;;;;wrong
level;destroy;;;;;correct
record;produce;;;;;correct
emerge;cause;;;;;wrong
want;beware;person;housekeeper;;hurricane;wrong
weaken;absorb;person;trend;person;remnant;wrong
classify;assign;organization;system;organization;name;correct
release;take;organization;advisory;person;place;correct
close;reopen;;;;;correct
experience;record;;;;;correct
shake;occur;earthquake;country;earthquake;quantity;wrong
strike;sustain;earthquake;country;home;damage;correct
say;take;official;building;person;place;wrong
bring;kill;;;;;wrong
take;come;;;;;wrong
cancel;issue;;;;;correct-reversed
intensify;weaken;person;storm;person;trend;wrong
name;know;organization;storm;person;cyclone;correct
follow;retire;organization;date;organization;name;wrong
remain;return;;;;;wrong
increase;decrease;;;;;correct
issue;bring;organization;warning;storm;rain;wrong
upgrade;attain;organization;system;person;intensity;wrong
know;form;person;cyclone;person;quantity;wrong
wash;damage;;;;;wrong
accumulate;multiply;water;cyclone;loss;dike;correct
grow;contain;;;;;wrong
evacuate;give;people;people;organization;way;wrong
send;fly;;;;;wrong
emerge;remain;wave;country;person;number;wrong
damage;take;;;;;wrong
expect;send;person;storm;organization;team;correct
destroy;uproot;tornado;home;wind;tree;correct
follow;feel;organization;date;person;intensity;wrong
fall;receive;quantity;tree;person;quantity;wrong
drain;lie;water;water;country;area;wrong
uproot;destroy;;;;;correct
extend;upgrade;;;;;wrong
flow;increase;;;;;correct
destroy;damage;;;;;correct
associate;summarize;person;convection;table;system;wrong
attain;dissipate;;;;;wrong
flood;recede;;;;;correct
take;affect;;;;;wrong
form;track;;;;;correct
mark;retire;;;;;wrong
issue;sustain;;;;;wrong
destroy;level;;;;;correct
affect;total;person;country;damage;money;wrong
kill;destroy;;;;;wrong
evacuate;go;people;people;person;house;correct
pass;produce;;;;;wrong
assign;take;organization;name;person;place;wrong
decrease;pass;;;;;correct
evacuate;rise;people;people;river;water;correct-reversed
fight;contain;;;;;wrong
weaken;attain;person;trend;person;intensity;wrong
leave;impact;;;;;wrong
experience;issue;;;;;wrong
send;arrive;;;;;correct
burn;extinguish;;;;;correct
deepen;upgrade;person;trough;organization;system;wrong
drop;damage;storm;rainfall;wind;home;wrong
leave;include;storm;people;person;organization;wrong
hit;add;earthquake;country;organization;quantity;wrong
rise;cut;river;water;person;power;wrong
help;raise;country;victim;organization;money;correct
want;beware;;;;;wrong
kill;drown;;;;;correct-reversed
damage;wreck;;;;;correct-reversed
hit;strike;earthquake;country;earthquake;country;wrong
injure;strike;;;;;correct-reversed
move;drop;person;westward;storm;rainfall;wrong
leave;enter;storm;people;person;area;correct
begin;reach;;;;;correct
interact;reach;;;;;wrong
strengthen;reach;person;storm;person;intensity;correct
reflect;speak;this;activity;person;language;wrong
evacuate;take;people;people;person;place;wrong
control;burn;;;;;correct-reversed
delimit;limit;date;period;date;damage;wrong
weaken;dissipate;person;trend;person;mi;wrong
strengthen;dissipate;;;;;wrong
make;dissipate;person;landfall;person;mi;wrong
affect;cancel;;;;;wrong
wash;kill;flood;road;person;people;wrong
classify;track;organization;system;person;northwestward;wrong
base;intensify;;;;;wrong
move;designate;person;westward;organization;system;wrong
kill;rise;;;;;wrong
weaken;make;;;;;wrong
snap;occur;tornado;tree;earthquake;quantity;wrong
issue;include;;;;;wrong
know;name;;;;;wrong
burn;battle;fire;quantity;firefighter;blaze;correct
run;extend;;;;;wrong
hit;bring;earthquake;country;storm;rain;wrong
multiply;exceed;;;;;wrong
cause;run;;;;;wrong
report;peak;;;;;wrong
measure;shake;;;;;correct-reversed
mark;replace;;;;;correct
reach;curve;person;intensity;storm;northward;wrong
send;help;;;;;correct
multiply;exceed;loss;dike;damage;quantity;wrong
intensify;make;;;;;wrong
evacuate;strand;people;people;flooding;people;correct
hit;injure;earthquake;country;number;people;correct
lose;close;;;;;wrong
total;cause;damage;money;storm;damage;wrong
cross;enter;;;;;correct
assign;have;organization;name;person;name;wrong
speak;exceed;;;;;wrong
pledge;donate;;;;;correct
operate;include;organization;organization;person;organization;wrong
erupt;flow;volcano;volcano;water;river;wrong
hit;hold;earthquake;country;dike;water;wrong
cause;affect;storm;damage;person;country;correct
move;monitor;;;;;correct
run;come;;;;;wrong
experience;occur;;;;;wrong
turn;emerge;;;;;wrong
assign;have;;;;;correct
revise;determine;;;;;wrong
damage;cover;wind;home;flood;area;wrong
develop;move;;;;;correct
occur;prevent;;;;;correct
upgrade;enter;;;;;wrong
slow;intensify;;;;;wrong
replace;strike;organization;person;earthquake;country;wrong
reflect;speak;;;;;wrong
move;emerge;person;westward;wave;country;wrong
denote;relate;;;;;wrong
bring;drop;storm;rain;storm;rainfall;correct
have;judge;;;;;wrong
destroy;die;tornado;home;people;person;correct
accelerate;cause;person;northward;storm;damage;wrong
flood;damage;river;area;wind;home;correct
cause;lead;storm;damage;rain;organization;wrong
shake;hit;;;;;wrong
organize;enter;system;convection;person;area;wrong
shut;close;organization;airport;organization;school;wrong
document;form;;;;;wrong
die;kill;people;person;person;people;correct-reversed
continue;accelerate;;;;;wrong
affect;wash;;;;;correct-reversed
occur;shake;earthquake;quantity;earthquake;country;correct
capsize;cause;boat;boat;storm;damage;correct-reversed
destroy;leave;;;;;wrong
conduct;include;;;;;wrong
rat;touch;organization;tornado;tornado;southwest;wrong
kill;know;;;;;wrong
distribute;affect;;;;;wrong
rise;crest;river;water;river;quantity;wrong
affect;break;;;;;wrong
destroy;demolish;;;;;correct
evacuate;suffer;;;;;correct
occur;sustain;;;;;wrong
resume;weaken;organization;track;person;trend;wrong
lose;hit;;;;;wrong
enter;define;;;;;wrong
observe;include;number;wind;person;organization;wrong
leave;sustain;storm;people;home;damage;correct-reversed
block;cause;;;;;wrong
repair;restore;worker;damage;power;power;correct
reside;live;people;west;people;storm;correct
impact;result;storm;country;damage;flood;correct
track;pass;person;northwestward;person;quantity;wrong
discontinue;follow;;;;;wrong
last;delimit;;;;;wrong
total;leave;;;;;wrong
end;delimit;season;drought;date;period;correct
drop;produce;storm;rainfall;storm;wind;wrong
include;relate;person;organization;organization;death;wrong
hit;damage;;;;;correct
originate;affect;;;;;correct
sink;kill;;;;;wrong
inundate;die;;;;;wrong
end;feature;season;drought;date;cyclone;wrong
occur;estimate;;;;;wrong
allow;locate;condition;resident;person;person;wrong
occur;isolate;;;;;wrong
strike;jolt;;;;;correct
affect;cause;;;;;correct-reversed
expect;name;;;;;wrong
lose;damage;people;power;wind;home;correct-reversed
replace;rotate;;;;;wrong
assign;limit;organization;name;shear;damage;wrong
exist;reflect;cyclone;problem;this;activity;wrong
total;damage;damage;money;wind;home;wrong
donate;distribute;organization;money;organization;food;correct
burst;flood;;;;;correct
weaken;drop;person;trend;storm;rainfall;wrong
remove;remain;organization;debris;person;number;correct
deploy;assist;organization;team;organization;victim;correct
expose;intensify;;;;;wrong
destroy;cut;tornado;home;person;power;correct
emerge;make;;;;;wrong
sustain;damage;home;damage;wind;home;correct-reversed
remain;expect;person;number;person;storm;wrong
weaken;turn;person;trend;storm;west;wrong
lose;cause;people;power;storm;damage;correct-reversed
estimate;weaken;person;wind;person;trend;wrong
strike;bring;earthquake;country;storm;rain;wrong
knock;flood;;;;;wrong
approach;track;;;;;correct
fall;kill;quantity;tree;person;people;wrong
burn;consume;fire;quantity;fire;quantity;wrong
downgrade;dissipate;;;;;wrong
occur;break;;;;;wrong
track;upgrade;;;;;wrong
suspend;close;organization;service;organization;school;correct
identify;strike;organization;area;earthquake;country;wrong
issue;discontinue;organization;warning;person;advisory;wrong
delimit;limit;;;;;wrong
track;strike;;;;;wrong
move;assess;person;westward;person;damage;wrong
include;call;person;organization;person;organization;wrong
record;peak;station;wind;rainfall;wind;wrong
evacuate;flood;;;;;correct-reversed
assign;include;organization;name;person;organization;wrong
retire;prove;;;;;wrong
occur;down;earthquake;quantity;wind;tree;wrong
donate;collect;;;;;correct
tend;delimit;cyclone;farm;date;period;wrong
intensify;enter;;;;;wrong
cover;occur;flood;area;earthquake;quantity;wrong
leave;close;;;;;correct-reversed
form;move;;;;;correct
form;drift;person;quantity;person;northward;wrong
hit;record;;;;;wrong
scatter;move;;;;;correct-reversed
fall;associate;quantity;tree;person;convection;wrong
center;move;;;;;wrong
record;hit;station;wind;earthquake;country;wrong
move;consist;person;westward;person;rock;wrong
denote;relate;griffin;warning;organization;death;wrong
record;flood;;;;;wrong
follow;provide;;;;;wrong
affect;distribute;person;country;organization;food;wrong
blow;sustain;;;;;wrong
accumulate;exist;water;cyclone;cyclone;problem;wrong
warn;strengthen;;;;;correct-reversed
weaken;produce;;;;;wrong
dissipate;evacuate;person;mi;people;people;wrong
close;reopen;organization;school;organization;road;correct
issue;extend;;;;;wrong
burn;light;fire;quantity;earthquake;fire;correct-reversed
record;inundate;station;wind;flood;area;wrong
occur;touch;earthquake;quantity;tornado;southwest;wrong
die;fall;people;person;quantity;tree;correct-reversed
move;expose;person;westward;shear;center;wrong
burn;break;fire;quantity;fire;record;wrong
record;report;station;wind;organization;damage;wrong
send;go;;;;;correct
reach;strengthen;person;intensity;person;storm;wrong
report;produce;organization;damage;storm;wind;wrong
move;emerge;;;;;correct
attain;pass;;;;;wrong
shift;include;;;;;wrong
contribute;fall;;;;;wrong
bring;close;storm;rain;organization;school;wrong
transition;absorb;;;;;wrong
track;cross;person;northwestward;person;country;wrong
sweep;throw;;;;;wrong
reflect;multiply;;;;;wrong
deploy;send;organization;team;organization;team;correct
continue;turn;;;;;wrong
assess;upgrade;;;;;wrong
assess;reach;person;damage;person;intensity;wrong
take;close;;;;;wrong
form;assign;person;quantity;organization;name;wrong
run;delimit;person;organization;date;period;wrong
maintain;cross;;;;;wrong
longitude;expect;;;;;wrong
lead;occur;rain;organization;earthquake;quantity;wrong
work;include;;;;;wrong
spread;burn;fire;center;fire;quantity;correct-reversed
touch;move;tornado;southwest;person;westward;correct
occur;locate;;;;;correct
burn;contain;;;;;correct
fall;bring;;;;;wrong
level;damage;;;;;correct
send;dispatch;organization;team;organization;team;correct
dissipate;monitor;person;mi;organization;system;wrong
bring;provide;storm;rain;organization;assistance;correct
donate;match;organization;money;organization;donation;correct
exceed;lose;;;;;wrong
shake;strike;;;;;wrong
shake;measure;earthquake;country;quake;number;correct
track;persist;person;northwestward;remnant;quantity;wrong
mark;start;this;name;person;fire;wrong
strike;damage;;;;;correct
damage;amount;wind;home;damage;damage;correct
form;remain;person;quantity;person;number;wrong
reach;undergo;person;intensity;person;intensification;correct-reversed
take;develop;;;;;wrong
take;continue;;;;;wrong
intensify;accelerate;person;storm;person;northward;correct
cut;kill;person;power;person;people;wrong
leave;remain;;;;;correct-reversed
exceed;include;;;;;wrong
hit;lose;;;;;correct
slip;lie;;;;;wrong
destroy;rebuild;;;;;correct
evacuate;erupt;;;;;correct-reversed
destroy;lose;;;;;correct
upgrade;develop;;;;;wrong
cross;continue;;;;;correct
cross;strike;;;;;wrong
increase;strengthen;;;;;correct
offer;donate;;;;;correct
strengthen;upgrade;;;;;wrong
intensify;dissipate;;;;;wrong
enter;displace;person;area;fault;people;wrong
spawn;destroy;;;;;correct
move;cross;person;westward;person;country;correct
kill;work;person;people;person;shift;wrong
accelerate;transition;;;;;wrong
affect;die;person;country;people;person;correct-reversed
fall;rescue;;;;;correct
damage;leave;wind;home;storm;people;correct
injure;damage;number;people;wind;home;correct
affect;receive;person;country;person;quantity;wrong
know;originate;;;;;wrong
intensify;increase;person;storm;convection;shear;wrong
archive;retrieve;;;;;correct
end;delimit;;;;;correct
situate;intensify;hurricane;mi;person;storm;wrong
