say;take;official;building;person;place;correct-reversed
continue;drop;person;westward;storm;rainfall;correct
close;damage;;;;;correct
affect;fall;person;country;quantity;tree;correct
record;drop;station;wind;storm;rainfall;wrong
occur;estimate;;;;;wrong
mark;retire;;;;;wrong
decrease;pass;;;;;correct
accelerate;cause;person;northward;storm;damage;wrong
damage;amount;wind;home;damage;damage;correct-reversed
bring;exceed;storm;rain;damage;quantity;correct
record;produce;;;;;correct
burn;break;fire;quantity;fire;record;correct
downgrade;dissipate;;;;;correct
shake;measure;earthquake;country;quake;number;correct
record;report;station;wind;organization;damage;wrong
record;inundate;station;wind;flood;area;wrong
pledge;send;;;;;correct
denote;relate;griffin;warning;organization;death;wrong
bring;drop;storm;rain;storm;rainfall;correct
situate;intensify;hurricane;mi;person;storm;wrong
end;delimit;season;drought;date;period;correct
sustain;damage;home;damage;wind;home;correct
impact;result;storm;country;damage;flood;correct
evacuate;strand;people;people;flooding;people;correct
burst;flood;;;;;correct
spread;burn;fire;center;fire;quantity;correct
sweep;damage;flood;home;wind;home;correct
rock;measure;;;;;wrong
estimate;weaken;person;wind;person;trend;correct
take;include;;;;;correct
cover;continue;;;;;correct
weaken;transition;;;;;wrong
reach;surge;person;intensity;storm;river;wrong
form;move;;;;;correct
wash;kill;flood;road;person;people;correct
extend;discontinue;;;;;correct-reversed
record;hit;station;wind;earthquake;country;correct-reversed
inundate;die;;;;;correct
injure;strike;;;;;correct-reversed
hit;bring;earthquake;country;storm;rain;correct
destroy;wash;tornado;home;flood;road;wrong
damage;wreck;;;;;correct
record;peak;station;wind;rainfall;wind;correct
cause;affect;storm;damage;person;country;correct
damage;total;wind;home;damage;money;correct
bring;destroy;;;;;wrong
miss;flood;;;;;wrong
hit;lose;;;;;correct
shift;include;;;;;correct
assign;include;organization;name;person;organization;correct
build;rebuild;;;;;correct
damage;catch;;;;;correct
burn;extinguish;;;;;correct
extend;upgrade;;;;;correct
revise;determine;;;;;correct-reversed
enter;intensify;;;;;correct
occur;down;earthquake;quantity;wind;tree;correct
evacuate;take;people;people;person;place;correct-reversed
cover;come;;;;;wrong
form;dissipate;person;quantity;person;mi;wrong
measure;shake;;;;;correct-reversed
remain;find;person;number;aircraft;survivor;correct
