occur;down;earthquake;quantity;wind;tree;1.488;0.0;1.698;8.361
name;form;;;;;1.845;0.002;1.697;5.144
associate;issue;event;convection;organization;warning;1.526;0.0;1.697;5.713
last;reach;;;;;1.869;0.0;1.697;4.537
dissipate;monitor;person;mi;organization;system;1.489;0.0;1.697;8.553
drown;kill;;;;;1.999;0.001;1.696;6.958
assess;reach;person;damage;person;intensity;2.251;0.0;1.696;5.145
emerge;continue;;;;;1.428;0.0;1.695;3.751
cover;occur;flood;area;earthquake;quantity;1.913;0.0;1.695;4.54
affect;wash;;;;;1.586;0.0;1.694;7.245
remain;expect;person;number;person;storm;2.035;0.0;1.694;1.347
hit;lose;;;;;1.186;0.0;1.693;2.493
lead;occur;rain;organization;earthquake;quantity;1.767;0.0;1.693;3.48
upgrade;define;;;;;2.11;0.001;1.692;8.718
cause;lead;storm;damage;rain;organization;1.484;0.0;1.691;2.393
destroy;burn;;;;;1.905;0.001;1.691;4.986
weaken;indicate;person;trend;report;wind;2.096;0.0;1.691;5.249
enter;define;;;;;1.746;0.0;1.689;5.288
follow;come;organization;date;person;date;1.728;0.0;1.688;1.698
cause;result;;;;;1.286;0.0;1.688;4.13
wash;kill;flood;road;person;people;1.484;0.0;1.688;5.405
slow;intensify;;;;;2.336;0.001;1.687;6.315
evacuate;give;people;people;organization;way;1.659;0.0;1.687;5.256
leave;close;;;;;1.497;0.001;1.687;2.674
lose;sustain;people;power;home;damage;1.843;0.0;1.686;4.363
turn;emerge;;;;;2.027;0.0;1.686;3.539
sustain;damage;home;damage;wind;home;1.876;0.001;1.686;7.839
base;pass;;;;;1.411;0.0;1.685;3.53
evacuate;accord;people;people;number;rating;1.439;0.0;1.685;9.366
expose;intensify;;;;;1.901;0.0;1.684;7.696
weaken;undergo;person;trend;person;intensification;2.431;0.001;1.683;7.625
occur;break;;;;;1.384;0.0;1.683;4.108
affect;break;person;country;fire;record;1.509;0.0;1.682;5.288
base;intensify;;;;;1.525;0.0;1.682;6.9
reach;curve;person;intensity;storm;northward;1.384;0.0;1.681;7.597
cross;downgrade;;;;;1.702;0.0;1.681;8.641
occur;build;earthquake;quantity;person;home;1.701;0.0;1.681;4.442
emerge;make;;;;;2.32;0.001;1.681;2.479
fall;miss;quantity;tree;people;people;1.434;0.0;1.68;2.942
evacuate;flood;;;;;1.791;0.001;1.679;7.052
define;intensify;plan;eye;person;storm;1.749;0.001;1.679;8.545
miss;flood;;;;;1.472;0.0;1.678;7.375
damage;cover;wind;home;flood;area;1.698;0.0;1.678;4.676
report;peak;;;;;1.445;0.0;1.678;6.374
die;fall;people;person;quantity;tree;1.952;0.001;1.676;3.397
affect;go;;;;;1.422;0.0;1.676;2.341
organize;follow;system;convection;organization;date;1.019;0.0;1.676;4.64
hit;record;;;;;1.274;0.0;1.676;5.199
drop;produce;storm;rainfall;storm;wind;2.029;0.001;1.675;4.744
cause;run;;;;;1.829;0.0;1.675;3.036
