follow;feel;organization;date;person;intensity;2.105;0.0;5.602;1.782
assess;intensify;;;;;2.105;0.0;6.867;8.569
rise;cut;river;water;person;power;2.105;0.0;5.866;1.683
cover;come;;;;;2.105;0.0;5.819;1.216
track;persist;person;northwestward;remnant;quantity;2.104;0.0;6.074;6.678
flow;increase;;;;;2.103;0.0;5.569;3.731
evacuate;surge;people;people;storm;river;2.103;0.0;5.658;6.263
remain;prevent;;;;;2.102;0.0;5.815;2.273
go;know;person;house;person;cyclone;2.101;0.0;5.993;-1.851
level;damage;;;;;2.1;0.0;6.531;5.935
include;survive;person;organization;person;earthquake;2.099;0.0;6.05;2.232
identify;affect;;;;;2.099;0.0;5.86;3.646
remove;remain;organization;debris;person;number;2.098;0.0;5.709;1.505
send;go;;;;;2.098;0.0;6.388;0.838
organize;enter;system;convection;person;area;2.096;0.001;7.338;5.681
fail;remain;;;;;2.096;0.0;5.53;1.535
classify;assign;organization;system;organization;name;2.095;0.0;5.784;5.298
affect;cancel;;;;;2.095;0.0;6.102;4.87
enter;displace;person;area;fault;people;2.093;0.0;5.648;5.416
destroy;rebuild;;;;;2.092;0.0;6.727;3.379
hit;hold;earthquake;country;dike;water;2.092;0.0;5.526;1.343
warn;strengthen;;;;;2.091;0.0;5.962;4.364
rise;live;river;water;people;storm;2.09;0.0;5.803;2.046
damage;catch;;;;;2.09;0.0;5.673;4.716
damage;snap;wind;home;tornado;tree;2.088;0.0;6.742;7.362
hit;block;;;;;2.088;0.0;5.522;2.999
capsize;cause;boat;boat;storm;damage;2.088;0.0;5.777;5.791
move;show;;;;;2.088;0.0;6.198;1.32
replace;strike;organization;person;earthquake;country;2.086;0.0;6.129;3.573
submerge;affect;;;;;2.086;0.0;6.056;7.371
identify;strike;organization;area;earthquake;country;2.086;0.0;5.582;2.781
center;move;;;;;2.085;0.0;6.528;4.612
attain;accelerate;person;intensity;person;northward;2.085;0.0;6.937;9.352
experience;occur;;;;;2.085;0.0;6.48;4.69
allow;rise;condition;resident;river;water;2.084;0.0;5.64;1.595
expose;dissipate;;;;;2.084;0.0;6.479;8.201
damage;spawn;wind;home;storm;tornado;2.083;0.001;7.463;7.577
name;develop;;;;;2.082;0.002;8.33;4.943
undergo;name;person;intensification;organization;storm;2.082;0.0;5.693;4.892
knock;flood;;;;;2.081;0.0;6.358;5.518
expose;weaken;shear;center;person;trend;2.081;0.001;7.245;6.487
assess;upgrade;;;;;2.079;0.0;6.269;7.08
flood;prevent;river;area;shear;flooding;2.079;0.0;5.793;4.5
block;cause;;;;;2.079;0.0;6.19;2.994
inundate;fall;flood;area;quantity;tree;2.078;0.0;6.732;7.074
run;extend;;;;;2.078;0.0;5.512;1.833
move;consist;person;westward;person;rock;2.077;0.0;5.927;4.176
kill;range;;;;;2.077;0.0;5.838;3.957
damage;operate;wind;home;organization;organization;2.077;0.0;5.603;4.019
shift;include;;;;;2.076;0.0;5.572;2.2
