want;beware;person;housekeeper;;hurricane;9.26;1.0;12.871;6.997
archive;retrieve;;;;;8.912;1.0;12.863;10.282
end;feature;season;drought;date;cyclone;7.888;0.211;11.322;4.944
reflect;speak;;;;;7.75;0.485;12.132;5.465
mark;start;this;name;person;fire;7.106;0.148;10.956;4.949
ignite;burn;;;;;6.883;0.098;10.546;5.746
assign;judge;organization;name;organization;system;6.785;0.147;10.943;7.545
assign;have;;;;;6.785;0.1;10.569;10.115
end;delimit;season;drought;date;period;6.753;0.093;10.491;10.068
speak;exceed;;;;;6.397;0.133;10.84;7.777
sink;rescue;boat;boat;organization;people;6.386;0.052;9.912;5.438
donate;provide;;;;;6.337;0.054;9.948;4.689
retire;replace;organization;name;organization;person;6.17;0.298;11.638;5.07
last;delimit;;;;;6.14;0.075;10.267;10.458
raise;donate;organization;money;organization;money;6.113;0.044;9.751;4.635
send;arrive;;;;;6.091;0.075;10.266;4.396
send;distribute;organization;team;organization;food;6.091;0.035;9.525;4.708
send;help;;;;;6.091;0.044;9.755;2.26
send;dispatch;organization;team;organization;team;6.091;0.077;10.296;5.473
burn;start;;;;;5.992;0.034;9.488;4.385
run;delimit;person;organization;date;period;5.905;0.044;9.734;10.159
burn;contain;;;;;5.841;0.049;9.849;5.526
delimit;limit;date;period;shear;damage;5.787;0.042;9.699;10.242
donate;contribute;;;;;5.723;0.026;9.219;5.316
rat;touch;organization;tornado;tornado;southwest;5.695;0.041;9.665;9.608
mark;replace;;;;;5.561;0.027;9.275;5.825
close;reopen;organization;school;organization;road;5.552;0.026;9.216;2.966
send;provide;;;;;5.532;0.032;9.424;3.427
know;originate;person;cyclone;person;quantity;5.498;0.022;9.054;5.251
mark;retire;;;;;5.449;0.041;9.653;6.872
deploy;send;organization;team;organization;team;5.447;0.026;9.208;5.637
donate;send;;;;;5.402;0.084;10.378;6.589
assign;limit;organization;name;shear;damage;5.289;0.026;9.221;6.707
measure;shake;;;;;5.27;0.03;9.364;6.991
name;know;organization;storm;person;cyclone;5.255;0.034;9.489;3.433
submerge;flood;;;;;5.064;0.014;8.62;7.806
strand;flood;flooding;people;river;area;5.064;0.013;8.561;6.46
because;hit;;;;;5.032;0.013;8.529;9.827
relate;include;organization;death;person;organization;5.014;0.064;10.096;4.187
extend;discontinue;;;;;5.013;0.013;8.509;8.218
break;burn;fire;record;fire;quantity;5.012;0.021;9.001;5.429
return;evacuate;;;;;4.975;0.022;9.053;5.572
send;raise;organization;team;organization;money;4.906;0.012;8.432;3.477
run;come;;;;;4.733;0.009;8.167;1.183
shut;close;organization;airport;organization;school;4.693;0.014;8.625;3.961
strike;jolt;;;;;4.643;0.01;8.307;8.202
suspend;close;organization;service;organization;school;4.579;0.012;8.471;5.531
increase;decrease;;;;;4.495;0.01;8.302;3.605
base;include;person;organization;person;organization;4.397;0.009;8.135;1.977
evacuate;erupt;;;;;4.393;0.008;8.057;7.429
